Date,Open,High,Low,Close,Adj Close,Volume
2019-11-21,156500.000000,157000.000000,151000.000000,154000.000000,154000.000000,666854
2019-11-22,153000.000000,155500.000000,152000.000000,153000.000000,153000.000000,335038
2019-11-25,153500.000000,156500.000000,153500.000000,156500.000000,156500.000000,300270
2019-11-26,157000.000000,158500.000000,156500.000000,157500.000000,157500.000000,361401
2019-11-27,158500.000000,159000.000000,156500.000000,157500.000000,157500.000000,294619
2019-11-28,156500.000000,157500.000000,155500.000000,157000.000000,157000.000000,218221
2019-11-29,156000.000000,159000.000000,153500.000000,155500.000000,155500.000000,471253
2019-12-02,156000.000000,156500.000000,153500.000000,156500.000000,156500.000000,250192
2019-12-03,155500.000000,157000.000000,154000.000000,157000.000000,157000.000000,235453
2019-12-04,156000.000000,156000.000000,154500.000000,156000.000000,156000.000000,233141
2019-12-05,155500.000000,156000.000000,148500.000000,149500.000000,149500.000000,841460
2019-12-06,149000.000000,154000.000000,149000.000000,153500.000000,153500.000000,415390
2019-12-09,154000.000000,154500.000000,151000.000000,151500.000000,151500.000000,267330
2019-12-10,150000.000000,151500.000000,147000.000000,149500.000000,149500.000000,516074
2019-12-11,150500.000000,150500.000000,147500.000000,150000.000000,150000.000000,480071
2019-12-12,151000.000000,151500.000000,149000.000000,149500.000000,149500.000000,710378
2019-12-13,150500.000000,151000.000000,148500.000000,151000.000000,151000.000000,456822
2019-12-16,151000.000000,152000.000000,150000.000000,151500.000000,151500.000000,297095
2019-12-17,151500.000000,152000.000000,149500.000000,150500.000000,150500.000000,275832
2019-12-18,150500.000000,152000.000000,149500.000000,151000.000000,151000.000000,252752
2019-12-19,150500.000000,151000.000000,149000.000000,150000.000000,150000.000000,175849
2019-12-20,150000.000000,153000.000000,149500.000000,150000.000000,150000.000000,545445
2019-12-23,151000.000000,151000.000000,148000.000000,148500.000000,148500.000000,283403
2019-12-24,148000.000000,150000.000000,144500.000000,146500.000000,146500.000000,367817
2019-12-26,146000.000000,148000.000000,146000.000000,148000.000000,148000.000000,320921
2019-12-27,149500.000000,154000.000000,149000.000000,153500.000000,153500.000000,690548
2019-12-30,154000.000000,155000.000000,153000.000000,153500.000000,153500.000000,428587
2020-01-02,154000.000000,154500.000000,152000.000000,152500.000000,152500.000000,241047
2020-01-03,153500.000000,155000.000000,151000.000000,152500.000000,152500.000000,314848
2020-01-06,150500.000000,155000.000000,150000.000000,154500.000000,154500.000000,393715
2020-01-07,155000.000000,160000.000000,154500.000000,160000.000000,160000.000000,840186
2020-01-08,158500.000000,162000.000000,156500.000000,159500.000000,159500.000000,851619
2020-01-09,163500.000000,165500.000000,162500.000000,164000.000000,164000.000000,878319
2020-01-10,165000.000000,166500.000000,163000.000000,165000.000000,165000.000000,401906
2020-01-13,165500.000000,167500.000000,165000.000000,167000.000000,167000.000000,475667
2020-01-14,167500.000000,168500.000000,165500.000000,167000.000000,167000.000000,423286
2020-01-15,167000.000000,170500.000000,166500.000000,170000.000000,170000.000000,462119
2020-01-16,170000.000000,172000.000000,170000.000000,171500.000000,171500.000000,260049
2020-01-17,171500.000000,172500.000000,168000.000000,168500.000000,168500.000000,354724
2020-01-20,169000.000000,170000.000000,167000.000000,168500.000000,168500.000000,380510
2020-01-21,168500.000000,169000.000000,163500.000000,165000.000000,165000.000000,389155
2020-01-22,166000.000000,169000.000000,164500.000000,166000.000000,166000.000000,504350
2020-01-23,168000.000000,168000.000000,164500.000000,165500.000000,165500.000000,323420
2020-01-28,160000.000000,163500.000000,159500.000000,162500.000000,162500.000000,513228
2020-01-29,165500.000000,166000.000000,162500.000000,163500.000000,163500.000000,255167
2020-01-30,163000.000000,165500.000000,160500.000000,162000.000000,162000.000000,418908
